,headlines,content,fakeness
200,Decode Politics | Akhilesh Yadav’s ‘PDA’ pitch: Why making new friends not as easy as public display of affection,"Angry voices from within, resignation of Swami Prasad Maurya, coalition pressures, candidate choices are all putting under strain SP’s bid to expand its vote base beyond Muslims and Yadavs, to other OBC groups and Dalits",0
201,"Mayawati cuts ties with Gondwana party after MP, Chhattisgarh fiasco, to go solo in LS polls","BSP and GGP failed to undertake a 'new social engineering' through an alignment of Dalit-tribal voters in MP, Chhattisgarh, getting routed in Assembly polls",0
202,"Today in Politics: Will they or won’t they? AAP, Congress’s Delhi dance continues","Plus, PM Narendra Modi will inaugurate the Raisina Dialogue conference and protesting farmers are scheduled to begin their march to Delhi.",0
203,"Decode Politics: Jobs to ‘BAAP’, why Tejashwi Yadav is first off the blocks in LS poll race","“Nitish Kumar has no new vision for Bihar. He is a man of old thoughts,” the RJD leader said Tuesday as he embarked on the 10-day Jan Vishwas Yatra from Muzaffarpur.",0
204,Third time lucky? Why this Act on Maratha quota is unlike two previous bidsSubscriber Only,"All three moves were timed to before elections. The most recent one follows an elaborate survey of the Maratha community, which govt says will pass muster in courts",0
205,"SP continues its blows on Congress, names candidates for 2 seats left for ally","SP announces nominees for Varanasi and Amroha, taking its list to 22, as Congress keeps waiting for seat talks to ""conclude""; Shivpal replaces Dharmendra in Badaun",0
206,"Why Maratha panel said quota ‘need of hour’, warned of ‘social imbalance’","Marathas form 27% of Maharashtra's population, 84% of them are in non-creamy layer, says panel. “Compared to OBCs, the backwardness is more pervasive in terms of penetration, further regressive in character”",0
207,Capt Amarinder Singh: ‘PM Modi wants farm stir resolution soon… Farmers must understand this has to be within national perspective’,"'I am all for alliance of BJP with Akalis...We should fight together in Lok Sabha polls to counter our opponents strongly,' ex-Punjab CM tells The Indian Express",0
208,"Chandigarh Mayor: AAP-Congress gets post, but BJP numbers to keep chair rocky","After AAP councillors switched, BJP has simple majority; counts on unsteady AAP-Congress tie-up to collapse, get it needed votes to oust Kuldeep Kumar Tita",0
209,"From the Urdu Press: ‘Rahul must halt Yatra, launch Cong Jodo campaign’, ‘Cynical towards farmers, govt wants privatisation in agriculture’","Rahul is an enthusiastic Cong worker but he does not have qualities of a successful leader, or else he would have reached out to disgruntled party leaders to check their exit, writes Urdu Times",0
210,"10 days after Jayant said joining NDA, what is BJP waiting for?","No word from BJP on formal alliance yet, leaders insist it is all but sealed; speculation that both sides are waiting for the farmer agitation to get resolved for maximum effect.",0
211,"PDP leader and ex-J&K Dy CM attends Modi rally, says have ‘come to listen to my PM’","Muzaffar Hussain Baig, who took a position contrary to PDP over Article 370, refuses to confirm or deny if he would be joining BJP; says BJP will “perform well” in Kashmir in LS polls",0
212,"Serial turncoat Afzal Ansari gets SP ticket now, set to contest after SC nod","The ‘brains’ behind gangster-brother Mukhtar Ansari of eastern UP, he is among the 11 new names announced by SP for the Lok Sabha polls",0
213,"Prominent OBC face Swami Prasad Maurya now leaves SP, likely to float own party","Once a confidant of Mayawati, he had joined BJP and was made a minister, before quitting it for SP ahead of 2022 polls; claims he was ""marginalised"" over controversial remarks on Ramcharitmanas",0
214,"Today in Politics: PM Modi in Jammu, will inaugurate the world’s highest railway bridge","Plus, Amit Shah in Rajasthan to address multiple BJP meetings, focus on three clusters",0
215,"What is holding up Opposition seat-sharing deal in Maharashtra? These 9 seats, say MVA insiders","From urban constituencies such as Pune and Mumbai South Central to Hingoli in Marathwada, the coalition is trying to resolve differences arising out of competitive interests.",0
216,"Decode Politics: As Sandeshkhali simmers, why there is unease in TMC about its political fallout","While Mamata Banerjee accuses the BJP of attempting to manufacture an “Adivasis versus minorities” narrative in the area, some in the TMC blame the party’s strategy for the situation it finds itself in",0
217,"Five takeaways from key BJP conclave: Modi as poll  mascot, Ram Mandir plank, slamming Cong, INDIA",PM told National Council that BJP workers should see the 370-seat target not just as a number but as their tribute to Jana Sangh founder Syama Prasad Mookerjee,0
218,"In fresh jolt to INDIA, Akhilesh skips Rahul Yatra  in Amethi as SP raises seat-sharing heat on Cong","Akhilesh also set to skip Yatra in Raebareli, even as SP unilaterally announces nominees for 11 more seats, taking total number of its candidates to 27",0
219,"As Kamal Nath ponders next move, the up and mostly downs of his time as MP Congress chief",The former Madhya Pradesh CM was credited with uniting a faction-ridden state unit and steering it to victory in the 2018 Assembly polls. But that proved to be a short-lived success.,0
220,Today in Politics: SC to hear Sharad Pawar’s plea against Ajit; Rahul v/s Smriti in Amethi,"Plus, the top court will also hear a PIL relating to allegations of sexual assault on women by members of the ruling TMC in Bengal’s Sandeshkhali",0
221,‘Akhilesh Yadav ignoring PDA’: 5-time MP Saleem Shervani resigns as SP general secretary,Senior leader Swami Prasad Maurya had quit the party over the issue and ally Pallavi Patel said she would not vote for the SP’s RS nominees.,0
222,New TN Cong chief K Selvaperunthagai: Tamil nationalism to Dalit activism to Kharge’s pick,"Sriperumbudur MLA is first Cong leader from Dalit community since L Ilaya Perumal in 1979 to be appointed TNCC president, edging out two party leaders close to Rahul Gandhi.",0
223,Bihar Dalit firebrand and disqualified CPI-ML (Liberation) MLA known for ‘Sadak Pe School’ campaign: Who is Manoj Manzil?,First-time MLA from Bhojpur has been disqualified from Assembly following his conviction in a murder case; CPI (ML) Liberation has called it an act of ‘judicial massacre and part of feudalistic conspiracy.',0
224,"Eye on LS polls, Telangana Cong looks to double down on schemes after caste survey","Stepping up BC outreach, Revanth Reddy govt pledges to use survey data to benefit them socially, economically and educationally besides increasing their quota in local bodies",0
225,Today in Politics: Modi to set BJP’s LS poll roadmap at key conclave; farmers up ante on eve of talks with Centre,"Jharkhand CM Champai Soren, state Cong president to meet Kharge as eight Cong MLAs disgruntled over Cabinet induction arrive in Delhi; Cong also braces for Kamal Nath's exit",0
226,"As farmers direct heat at the Centre, AAP’s Punjab govt catches a break","The protests take heat off for now on the Mann govt, which has been struggling against agitations on several fronts.",0
227,"In Kamal Nath, BJP sees a chance to strike deep at Congress heart, and pocket","A second former CM to leave within days would not be a good look for Congress, which will also miss the veteran's fund-raising skills, and lose further ground in a key state",0
228,"Rahul Gandhi visits Kashi Vishwanath, maintains silence on Gyanvapi",Congress charges cameras were not allowed to accompany Rahul during Vishwanath Temple visit,0
229,"Decode Politics: Behind Kejriwal’s repeated trust vote moves, targeting BJP, House muscle-flexing","During all his three trust votes in his third term so far, Delhi CM has claimed their trigger was BJP's 'Operation Lotus'; BJP has called them 'ploy to divert attention from corruption charges'",0
230,"On Kamal Nath, Congress puts up brave face, but state unit has some anxieties",Nath was projected as the CM face in Madhya Pradesh and enjoyed almost full autonomy in decision making – from ticket distribution to the campaign strategy – but the party’s final tally suggested the gamble had not paid off.,0
231,"Gandhi loyalist Kamal Nath, his MP-son likely to leave Congress for BJP","Amid growing buzz over his move, Kamal Nath reaches Delhi from Chhindwara, tells reporters, 'Why are you getting excited. If there is something like that I will inform you first'",0
232,"Nadda, Rajnath lead BJP chorus: Modi will be back for third term",PM tells party 370 seats will be tribute to Syama Prasad Mookerjee,0
233,Battle lines being drawn for Ajit Pawar wife vs Supriya Sule in Baramati: Who is Sunetra Pawar?,"A social worker, Sunetra has never contested an election, but has remained active in campaigning for her husband in the Pawar family stronghold in Assembly polls",0
234,Punjab CM in new role: How Mann has risen  as unlikely mediator in Centre-farmers talksSubscriber Only,"Invited to mediate with Centre by farm unions given his anti-BJP credentials, CM Mann has been nudging both sides towards a resolution, while flagging his own concerns",0
235,Rise of new JMM face: First-time minister Basant Soren set to lead party in LS polls with brother Hemant in jail,"Youngest son of Shibu Soren and Dumka MLA, Basant, who heads JMM’s youth wing, would spearhead the party’s poll campaign especially in Santhal Parganas",0
236,"As Jayant leads RLD to BJP, west UP waits for clearer signs to follow him","No clarity on seats yet, Muslim base wary, farm protest stirring, RLD supporters watch out for deal Jayant gets; Bharat Ratna to Charan Singh welcome but not the clincher",0
237,"Today in Politics: BJP National Council meeting set to begin in Delhi, set tone for LS poll campaign","Plus, the Delhi Assembly will discuss a vote of confidence tabled by Arvind Kejriwal; comes on the day a city court hears a case against the CM for skipping ED summons",0
238,"Modi’s popularity soars, why he needs to listen to voices that want to be heard, north to east to southSubscriber Only","On the cusp of a likely third term, PM has the space to ensure that an already polarised polity doesn't open new fault lines.",0
239,"Decode Politics: As cross-voting cloud looms on Rajya Sabha polls, how open ballot came up as solution","MLAs choosing Upper House MPs would have to show their vote to party representatives, but that hasn't checked cross-voting. This time, the possibility could arise in Karnataka, UP, Himachal",0
240,‘IT penalty of Rs 135 cr on us … For what? Doesn’t IT want democracy to survive?’: CongressSubscriber Only,"Rajya Sabha MP Vivek Tankha who represented the Congress before the Income Tax Appellate Tribunal on Friday after its accounts were frozen says, “If you are choking us completely, then the Congress will be out of elections … I asked whether the IT Department doesn’t want democracy to survive in India.”",0
241,"Election bonds order: A look at other Modi govt policy decisions challenged in SC, and what followedSubscriber Only","These include Aadhaar, CAA, Article 370, NCT powers, NJAC, demonetisation, and others. In most cases, SC has ruled in the govt's favour",0
242,"Two senior leaders not in race, is BJP toning down its Lok Sabha poll plans for TN?","Annamalai says he was never in contention, nor was L Murugan, just renominated to RS. But expectant party leaders say TN state chief should have led by example",0
243,"Farm stir upsets SAD, BJP reconciliation plan, Akalis press pause, BJP’s rural push takes a hit","The outcome of Centre-farm unions talks would have a crucial bearing on SAD-BJP’s realliance bid for LS polls, with Akalis deciding to give primacy to the cause of farmers, their core base.",0
244,"How 17th Lok Sabha performed: One-third of Bills passed under an hour, record suspensions, lengthy interruptions","The Lower House held 274 sittings in five years, the fewest for a full-term Lok Sabha. It also referred 16% of Bills to standing committees for scrutiny, well below the 60% and 71% when UPA 1 and 2 governments were in power.",0
245,"Key RJD backroom operator, Tejashwi Yadav’s advisor now RS nominee: Who is Sanjay Yadav?","RJD insiders say Sanjay, who was introduced to Tejashwi by Akhilesh Yadav, played a crucial role in the party’s success in the 2015 Bihar Assembly polls",0
246,"Former CECs welcome SC judgment on electoral bonds, say ECI’s concerns addressed","Former CEC O P Rawat, who was the Election Commissioner in 2017, had raised concerns with the government when the scheme was being discussed. He said Thursday's judgment has “addressed all concerns of the EC about shell companies and loss-making firms funnelling money through electoral bonds”.",0
247,"Electoral bonds and regional parties: TMC, DMK getting donations only via bonds since 2022-23, BJD from a year ago","TMC spokesperson Kunal Ghosh said, “People have a right to know the source of funds received through electoral bonds. We welcome the Supreme Court’s decision. We feel that one political party, which had introduced the electoral bonds, will cease to exist.”",0
248,"As farm protests continue, BJP feels the heat in Punjab, its leaders choose silence","Former CM Amarinder Singh and Sunil Jakhar had taken vocal positions in support of the farmers in 2020 when they were in Cong, but haven't been heard this time, now that they are in BJP; party's farmer leaders urged it to lend a ear to protesters",0
249,"BJP’s surprise RS pick in UP, Sanjay Seth: Realty tycoon, ex-aide of Mulayam, Akhilesh","By fielding ex-SP treasurer as its 8th candidate, BJP has forced an election, even though it lacks eight votes, which opens possibility of cross-voting.",0
250,"Today in Politics: With Rahul and Tejashwi set to address a rally together in Bihar, what to watch out for","Meanwhile, PM Narendra Modi will launch and unveil development projects worth more than Rs 26,000 crore in Rajasthan and Haryana, including an AIIMS in Rewari.",0
251,"Himachal: Amid rumblings in Congress over Abhishek Singhvi, BJP names candidate for lone RS seat","The opposition BJP quickly moved in fielding Harsh Mahajan, a former Congress veteran. Mahajan joined the BJP in 2022 ahead of the Assembly elections. He was then the working president of the Himachal Pradesh Congress.",0
252,"10 seats, 11 candidates: In UP, RS poll heat rises as BJP, SP join numbers war","Compounding SP’s troubles, its ally Apna Dal (Kamervadi) leader Pallavi Patel said she won't vote in the polls, citing SP's 'negligence of PDA communities'",0
253,"NC digs in heels on seat-sharing in J&K, Congress faces heat from another INDIA ally","After Farooq Abdullah says will contest Kashmir polls alone, Omar clarifies only Jammu seats are on the table for talks, PDP hopes “responsible parties” will rise above differences",0
254,"Electoral bonds order: BJP says its only aim was ‘transparency’, believes won’t influence polls","“Perfect has become the enemy of good”, says the party, asks how reverting to old practice of cheques is better; adds even parties whose support is waning have got funds via electoral bonds",0
255,"Electoral bonds order: Among petitioners, Congress woman leader who wields PILs ‘to ensure justice’","A trained dentist and MP Mahila Congress general secretary, Jaya Thakur has filed PILs on issues ranging from allegations against Adani Group to sanitary pads for school students, as well as against own party leaders.",0
256,Electoral bonds order: Opposition hopes for revival riding on corruption charge against govt,"Parties welcome order, believe the details of donors and recipients will help it build a quid pro quo case against the Modi govt.",0
257,Kapil Sibal interview: ‘Govt cannot set aside electoral bonds judgment with an Ordinance … No law can set aside an SC verdict’Subscriber Only,"""The scheme is perhaps the biggest scam in the history of India ... The Opposition may also be affected but the scheme was not brought by them, the BJP brought it,"" says Rajya Sabha MP who was the leading advocate for petitioners in the case.",0
258,Decode Politics: What has the Opposition said on electoral bonds,"Since the introduction of the scheme in 2018, the BJP has pitched it as a transparent solution to a corrupt electoral process. But the Opposition has been raising issues of transparency",0
259,Congress ally and Kerala MP lands in a soup over ‘surprise’ lunch with PM in Parliament,"With RSP's Premachandran the only INDIA MP present at the lunch, CPI(M) claims lunch exposes Cong-BJP ""nexus""; Premachandran accuses CPI(M) of making wild allegations with eye on Muslim vote",0
260,57% vs 10%: BJP vs Congress share in electoral bond funds,"With the Supreme Court striking down the scheme, analysis of declarations, SBI data show that after the big two come major regional ruling parties. NCP figures despite not being in power",0
261,"As Sonia Gandhi vacates Raebareli, recent polls show Congress losing hold in seat","While the party has lost the LS seat only thrice, its vote share has fallen since 2014, which might prompt party to stick to a Nehru Gandhi; in Assembly polls, it has been reeling in Raebareli segments",0
262,"Behind TMC’s RS picks, Abhishek game plan, stepping up women outreach, national pitch","By nominating Mamata Bala Thakur to RS, TMC has sought to increase legislative representation of Matua community, a key vote bank for both TMC and BJP in Bengal",0
263,"As BJD backs Vaishnaw for RS polls, buzz of ‘tacit pact’ with BJP in Odisha gains pace","The Congress has accused the two parties of ‘running the state government in partnership’; state BJP says support will have no bearing on Assembly, LS poll fights",0
264,Today in Politics: Will farmers call off stir — all eyes on their talks with Centre; SC set for electoral bonds verdict,"PM Modi in Doha to meet Qatari Emir days after seven out of eight former Indian Navy personnel, who were sentenced to death, were released from Qatar’s custody and brought back to India",0
265,RSS affiliate supports farmers’ demands on MSP but says against ‘violent agitation’,"The Bharatiya Kisan Sangh had earlier advocated a law for MSP but avoids using the term, says it backs demand for ‘remunerative prices’",0
266,"Sonia joins ‘outsiders’ taking Rajasthan route to Rajya Sabha in Congress; list carries Rahul, Kharge imprint",Cong's 10 RS nominations show accommodation of veterans as well as honouring of state leadership's wishes in some cases,0
267,"24 of 28 new faces, BJP goes in for Rajya Sabha overhaul, signals what’s coming for LS polls","Nadda, Vaishnaw among those repeated; party wants senior RS leaders being put in LS battle to emerge as its new faces in respective states",0
268,"After Swami Maurya, SP’s Apna Dal ally speaks out over ‘sidelining’ of backwards","Apna Dal (K) leader Pallavi Patel announces her party won’t vote in RS polls, questions nomination of upper caste names even as SP swears by its concern for them",0
269,"Jagan’s 3-capital plan stuck, Andhra hems and haws ahead of June 2 deadline on Hyderabad","After YSRCP leaders speak in two voices on whether Hyderabad should continue as capital, TDP says Jagan leaders seeking to protect ""illegal assets” in the city",0
270,Meet key faces of farm protest 2.0: A rebel and a lone warrior,"Sarwan Singh Pandher, the coordinator of the Kisan Mazdoor Morcha (KMM) and the Kisan Mazdoor Sangharsh Committee (KMSC), and Jagjit Singh Dallewal, the Samyukt Kisan Morcha (non-political) coordinator are leading the protests this time.",0
271,"As Governors walk out of Assemblies, what has SC said on their powers","Court has taken up the matter at least thrice -- in 1994, regarding the Karnataka Governor; in 2016, in case of Arunachal; in 2020, for MP; and most recently over delayed Bills in Punjab, Kerala, TN",0
272,"Jolt for Congress now from Assam, 2 MLAs, ‘extend support’ to BJP government","The two include Assam Cong working president, who is facing a Vigilance probe; CM Sarma says Assam will soon “become a state where all MLAs will support the state govt and Centre""",0
273,Congress RS name for Maharashtra is Dalit leader let down by own partymen in 2022 Council polls,"The loss of two-time MLA and former Cabinet minister Chandrakant Handore in 2022 was seen as result of cross-voting, with hints that party had let down the Dalits",0
274,"Decode Politics: Why Manipur CM is calling for  deporting post-1961 settlers, raising NRC pitch",The Biren Singh government and a large section of Meiteis have sought to link the continuing ethnic strife in Manipur to ‘uncontrolled illegal immigration’ from Myanmar,0
275,"In new company, Nitish Kumar’s new clothes — a lighter shade of ‘secularism’","During Bihar trust vote, the JD(U) chief who once shunned Narendra Modi citing “politics of communalism” speaks BJP language of minority appeasement for RJD",0
276,"Today in Politics: Sonia Gandhi to file RS poll nomination, INDIA alliance future hangs in the balance","Plus, in Odisha suspense continues over a Rajya Sabha seat and Naveen Patnaik's plans.",0
277,"Unlike 2020-21, why BJP is unruffled by farmers’ protests this time around","BJP leaders admit that farmers attempting to make their way to Delhi makes for “bad optics”, insinuate that the protesters' intention is something else",0
278,"In fresh blow to INDIA, AAP ups ante in Goa, names LS candidate from Congress stronghold","Cong calls AAP's move 'unilateral and premature' pointing out that South Goa is its sitting seat, AAP blames it for seat-sharing delay",0
279,Maharashtra Congress chief Nana Patole interview: ‘None of our MLAs willfully wants to join BJP. It wants to pressure our leaders and drag them’,"As Ashok Chavan quits the Congress to join the BJP, the Congress’s Maharashtra chief says the former CM will only get a minimal role in BJP and that the door is open for his return should he choose to reconsider his decision",0
280,"Among SP’s Rajya Sabha names, ex-IAS, Akhilesh aide and rising Kayastha face","Still not an official member of the party, the former bureaucrat was involved in the SP’s strategy team and helped draw up its 2022 Assembly poll manifesto",0
281,"From the Urdu Press: ‘Uttarakhand UCC to test waters before national push’, ‘BJP moves leave INDIA splintered’","Modi govt's White Paper reflected a bid to score political points and was of a piece with its policy of targeting Congress and Nehru-Gandhi family, writes Roznama Rashtriya Sahara",0
282,"Sonia Gandhi opts for Rajya Sabha, Priyanka may make poll debut from Raebareli in LS elections","Sonia will file her nomination papers in Jaipur on Wednesday, becoming the second member of the Nehru-Gandhi family after mother-in-law Indira Gandhi to enter the Upper House of Parliament.",0
283,"AAP govts at two ends, BJP-led Haryana in middle: Farmer protest ripe for politics","BJP accuses AAP of “instigating” the farmers; AAP says farmer demands genuine, points out its CM Bhagwant Mann tried to mediate for peace",0
284,"With Scindia driving pre-poll exodus from Cong, 300 Gwalior, Vidisha leaders cross over to BJP","In an attempt to shed his 'royal' tag and establish a stronger connection with voters, Scindia has been touring Gwalior region extensively ahead of LS polls",0
285,"Rumblings in INDIA bloc in J&K as NC, PDP slug it out over sharing Valley seats","PDP wants NC to contest from Srinagar and Baramulla LS seats and leave Anantnag for it, but NC is keen to fight all three; both parties want Cong to contest Jammu seats",0
286,Jaya Bachchan set for 5th Rajya Sabha term: A look at her Parliament career till now,"Bachchan is one of the most active parliamentarians around. She exceeds the national average in House attendance, participation, and has not missed a single sitting since the Monsoon Session in 2023.",0
287,"Keeping AAP in crosshairs, Congress steps up bid to pick LS faces for all Punjab seats","Six sitting MPs are among candidates recommended by Punjab Cong to AICC screening committee, with the party set to select candidates on 'winnability'",0
288,"BJP veteran, liked by Nitish Kumar, is new Bihar Speaker","Nand Kishore Yadav, who has an RSS background, is a seven-time MLA and former minister",0
289,"Reeling from Sandeshkhali unrest, TMC moves to control damage as BJP, CPI(M) turn up heat","A month after TMC’s Sandeshkhali strongman Shahjahan absconded following attack on an ED team, local women took to the streets to demand his arrest, alleging that he and his aides had assaulted and exploited them for years.",0
290,"Ashok Chavan joins exit queue, Maharashtra Congress frets about central, state leadership",Sanjay Nirupam says Chavan had been complaining about state leadership; former Mumbai Congress chief asks how Congress has gone from looking good in the state to this situation in months,0
291,"Today in Politics: With farmers set to march to Delhi, why it is a big test for both BJP govt and INDIA bloc","Plus, AAP’s political affairs committee will meet in Delhi to discuss Lok Sabha election strategy and candidates for Delhi, Haryana, and Goa.",0
292,"Three RJD MLAs cross-vote in Bihar trust vote, kin of two ‘bahubalis’ among them","While Sheohar MLA Chetan Anand is the son of former MP Anand Mohan, Mokama MLA Neelam Devi’s husband is former MLA Anant Singh. The third RJD legislator to cross-vote was five-time MLA Prahlad Yadav.",0
293,"As its 2 UP MLAs make a pilgrimage to Ayodhya with Yogi, why Congress is a divided house",A section of party leaders in the state  want it to focus more on Dalit and minority votes to ensure that ally Samajwadi Party doesn’t get the upper hand among them,0
294,"As Ashok Chavan quits Congress, a look at the three cases pending against him","Trial in CBI case in Adarsh scam yet to begin because of SC stay on proceedings in place since 2018, while ED has neither made any arrests in its case nor filed a chargesheet in the matter",0
295,"Ashok Chavan latest blow, unease grows in Congress over BJP’s blitz, Rahul Yatra timing",Party is now apprehensive about the sole Rajya Sabha seat it can win in Maharashtra in the coming polls; leaders fight INDIA might get restricted to states where Cong already allied with parties.,0
296,"Easy win for Nitish govt in trust vote as 3 RJD MLAs, ‘missing’ JD(U) MLAs surface on his side","Vote to remove RJD leader as Speaker sets the mood; NDA govt gets 129 votes in House of 243, none against as Opposition walks out",0
297,"As Jayant makes NDA switch official, a history of RLD’s U-turns: BJP to SP and now back to BJP",Ajit Singh in 1997 founded the RLD that has been a part of both the Vajpayee and UPA-II governments and since 2019 was in alliance with the SP.,0
298,"BJP bullish on Modi govt 3.0, rhetoric shows that with reforms, Hindutva to remain on agendaSubscriber Only","Several BJP leaders admit that the party would not slow down on its Hindutva push even if it returns to power with 370 seats – the target set by PM Modi – with noises already being made about Kashi, Mathura",0
299,"Boost for BJP in J&K, days after Bill, Pahari face and ex-NC leader joins party","Shahnaz Ganai is a prominent voice of Pahari community, recently given ST status by Centre; Pahari support could help the BJP tilt numbers in its favour in Anantnag LS seat",0
300,"Scion of old Congress family and ex-Maharashtra CM, Ashok Chavan now leaves party","Talks on with BJP since 2019, Chavan had been struggling to retain his stature in Congress since his LS loss that year.",0
301,Why an AAP-Congress alliance in Punjab made sense: 2022 Assembly poll numbers,"If the Assembly results are projected to LS, the two parties could have swept all the 13 seats in the state. But 2024 is a whole new ballgame, with AAP and Congress no longer as strong, BJP no more that weak",0
302,Decode Politics: Why ST quota demand in Goa is gaining traction,"With ST numbers rising from 500-odd in Census 2001 to 1.45 lakh in 2011, leading to influence in 4 Assembly seats, and protests for quota rising, BJP govt promises to take up demand with Centre",0
303,"BJP holds out hope for AIADMK’s NDA return, but Palaniswami unmoved","With TN BJP chief Annamalai still the preferred choice of the party's top brass, regional party rules out rejoining NDA; insiders say focus is on building alliance with PMK and DMDK.",0
304,"As SP gets ready to plug RLD-shaped hole in west UP, Congress may demand more seats","While some in Akhilesh Yadav’s party say RLD leaving the INDIA bloc for the NDA won’t have much of an impact, others say the party should promote its own Jat leaders.",0
305,Today in Politics: Will Jayant Chaudhary announce BJP deal on his father’s birth anniversary?,"Plus, Bihar set for trust vote after late-night drama that saw RJD accuse police of surrounding Tejashwi Yadav’s home and trying to enter it “on any pretext”.",0
306,"Back with BJP, Nitish Kumar to face floor test today, oust Speaker",No-confidence motion against Speaker Awadh Bihari Choudhary to be taken up before the vote,0
307,"Congress to end Rahul yatra earlier than planned, skip most of west UP","Congress denies decision linked to reports of Jayant Chaudhary ditching INDIA for BJP, says ending yatra earlier will give Rahul Gandhi more time to campaign for LS polls",0
308,"Newsmakers | TMC pulls a surprise with Sagarika Ghose in RS polls list, Matua leader too among nominees","While journalist-author Sagarika Ghose is likely to be the party’s voice in national media, the TMC has sent a signal to the Matuas by fielding Mamata Bala Thakur. The two renominated candidates are newspaper owner Md Nadimul Haque and former Silchar MP Sushmit Dev.",0
309,BJP in a bind as two allies stake claim to an LS seat in Maharashtra,"The constituency in question is Shirdi, which is currently held by the Shiv Sena led by Eknath Shinde but is also being sought by Union Minister Ramdas Athawale",0
310,"BJP-Akali backdoor talks fuel alliance whispers, but major hurdles remain on road to reconciliation",BJP’s increased expectations about seats and grassroots campaign in Akali territory since 2021 among the roadblocks,0
311,"In Haryana, key Congress faces missing from LS list; Hooda, Selja leave it to high command","Senior leaders feel party should invite them to contest,' says AICC in-charge Deepak Babaria, as 299 ticket seekers file applications for 10 seats",0
312,Decode Politics: Why Sukhbir Badal seeks PM Modi intervention in Shinde govt’s Hazur Sahib Board rejig,"While their alliance talks are underway, it would not be easy for SAD to join hands with BJP again without ensuring reversal of some of the changes made in Sikh institutions in BJP-ruled states.",0
313,"Poised to tie up with RLD, BJP eyes Jat base consolidation, West UP booster in LS polls",RLD is likely to get Baghpat and Bijnor LS seats besides one RS berth and one MLC seat as part of its tie-up with BJP,0
314,Today in Politics: Will BJP join hands with OPS? Nadda visit to Tamil Nadu fuels alliance buzz,"Many UP MLAs, MLCs are set to visit Ram Temple in Ayodhya, barring those from SP whose chief Akhilesh declines invite from CM Adityanath and Speaker Mahana",0
315,Modi played unparalleled role in uniting nation: House Chairs,It will give constitutional powers to future generations to take pride in its heritage: Modi,0
316,"Ahead of trust vote, Bihar numbers in fine balance; but what will Jitan Ram Manjhi do?",The numbers remain in NDA’s favour but its majority will become wafer thin if Manjhi’s MLAs back the Mahagathbandhan. The former CM though has said he stands with PM Modi,0
317,"Congress plays safe, extols Lord Ram’s values to slam govt","In Rajya Sabha, Congress MPs Pramod Tiwari and Randeep Surjewala said it was the Supreme Court which cleared the way for construction of the Ram Temple and the Congress respects the decision.",0
318,"Kejriwal pulls curtains on INDIA in Punjab, Chandigarh; says AAP will contest all 14 seats","AAP chief's announcement deals another blow to the alliance ahead of LS polls, which has been reeling from exit of JD(U) in Bihar and is staring at likely switch of RLD in UP now",0
319,"In Kerala, Congress puts up united face as Sudhakaran, Satheesan set off on yatra to take on CPM, BJP","By stepping up its protest against Centre's fiscal policies, LDF has already pitched itself as main opponent of Modi dispensation in Kerala before LS polls",0
320,"Bruised by poll loss, Congress on the ropes in Madhya Pradesh, BJP looks to go in for the kill","As BJP focuses on Mahakaushal, Kamal Nath’s family bastion and the only LS seat Congress holds at present, Congress is fighting dented morale, simmering anger over Assembly poll ticket distribution, and despondency over 'Modi guarantees' and Ram Mandir narrative",0
321,"Abhishek Singhvi interview: ‘Uttarakhand UCC’s live-in provision is surveillance by registration…directly violative of many SC judgments on privacy, autonomy & Art 21’Subscriber Only","‘This UCC is actually over 80% imposition from Hindu laws of divorce, succession and guardianship,’ says CWC member; on Gyanvapi row, he says the ‘core question is whether Places of Worship Act allows removal of any place of worship on the assumed or proved ground of a prior structure existing underneath’",0
322,Decode Politics: Why Kerala finds itself in court over caste census,"Amid growing push from Opposition on issue, LDF govt cites need for consensus, cases in SC to delay exercise to determine socially and economically backward classes",0
323,"As a TMC strongman is arrested, why Mamata Banerjee’s party won’t be complaining","Former Bhangar MLA Arabul Islam, arrested twice earlier, was expelled from the TMC in 2014 because of two deaths in an intra-party rivalry. But he was reinstated two years later.",0
324,"With Bharat Ratnas, Narendra Modi firms up a four-M Mantra – Mandal, Mandir, Market, MandiSubscriber Only","Karpoori Thakur, L K Advani, Narasimha Rao and Chaudhary Charan Singh plus Swaminathan cover the ground for the BJP dispensation",0
325,"Today in Politics: With Parliament set to discuss Ram Temple, how will Opposition respond?","Plus, Amit Shah will be in Karnataka at a time when BJP-JD(S) talks are at final stage, and Bihar BJP to hold a workshop for its MLAs ahead of crucial trust vote.",0
326,"BJP delighted host as after Chandrababu Naidu, ‘friendly’ Jagan comes calling","Even as TDP-BJP talks are on for seat-sharing, YSRCP is said to be keen on continuing its own amiable ties with the ruling party at the Centre, and is said to have conveyed the same to BJP leadership",0
327,"Decode Politics: 20 days to go for state board exams, why is Tripura staring at protests","In its latest flip-flop, the state board exam body has again ruled out Roman script for answering Kokborok papers, a touchy issue among tribals, who see insistence on Bengali as an imposition",0
